Afghanistan;0.076;0.103;0.121;0.175;0.226;0.297;0.309;0.321;0.332;0.344;0.357;0.365;0.365;0.365
Albania;0.541;0.528;0.537;0.529;0.565;0.595;0.596;0.598;0.600;0.601;0.602;0.609;0.609;0.609
Algeria;0.321;0.347;0.382;0.424;0.493;0.563;0.570;0.581;0.598;0.615;0.631;0.643;0.643;0.643
Andorra;;;;;;;;;;;0.670;0.670;0.670;0.670
Angola;;;;;0.299;0.365;0.380;0.395;0.410;0.426;0.441;0.474;0.474;0.474
Antigua and Barbuda;;;;;;;;;;;0.687;0.681;0.681;0.681
Argentina;0.538;0.598;0.627;0.648;0.711;0.726;0.730;0.729;0.732;0.756;0.783;0.783;0.783;0.783
Armenia;;;0.633;0.631;0.668;0.671;0.685;0.701;0.690;0.701;0.701;0.701;0.701;0.701
Australia;0.870;0.870;0.874;0.894;0.895;0.902;0.905;0.907;0.913;0.916;0.919;0.922;0.927;0.927
Austria;0.592;0.614;0.661;0.699;0.730;0.747;0.756;0.759;0.771;0.780;0.794;0.794;0.794;0.794
Azerbaijan;;;;;0.638;0.667;0.673;0.679;0.679;0.687;0.697;0.700;0.700;0.700
Bahamas;;;;;0.668;0.708;0.708;0.714;0.714;0.714;0.714;0.714;0.714;0.714
Bahrain;0.425;0.535;0.574;0.619;0.656;0.711;0.703;0.706;0.708;0.711;0.714;0.714;0.714;0.714
Bangladesh;0.202;0.219;0.251;0.292;0.330;0.381;0.388;0.395;0.397;0.415;0.433;0.447;0.447;0.447
Barbados;0.549;0.612;0.628;0.662;0.684;0.714;0.720;0.725;0.736;0.747;0.743;0.740;0.740;0.740
Belarus;;;;;;0.717;0.738;0.759;0.779;0.812;0.812;0.817;0.820;0.820
Belgium;0.626;0.655;0.705;0.804;0.835;0.792;0.794;0.796;0.797;0.802;0.807;0.812;0.812;0.812
Belize;0.538;0.548;0.563;0.578;0.603;0.660;0.676;0.678;0.679;0.676;0.675;0.678;0.689;0.689
Benin;0.144;0.186;0.201;0.235;0.269;0.339;0.352;0.364;0.377;0.390;0.403;0.414;0.414;0.414
Bhutan;;;;;;;;;;;0.410;0.421;0.421;0.421
Bolivia;0.411;0.466;0.528;0.577;0.620;0.654;0.655;0.656;0.662;0.668;0.674;0.674;0.674;0.674
Bosnia and Herzegovina;;;;;;0.653;0.651;0.648;0.652;0.649;0.650;0.655;0.655;0.655
Botswana;0.282;0.363;0.459;0.516;0.576;0.607;0.603;0.607;0.611;0.615;0.619;0.619;0.619;0.619
Brazil;0.362;0.415;0.463;0.524;0.581;0.614;0.627;0.639;0.657;0.658;0.662;0.661;0.661;0.661
Brunei Darussalam;0.519;0.541;0.589;0.626;0.646;0.672;0.682;0.681;0.677;0.682;0.678;0.681;0.692;0.692
Bulgaria;0.579;0.610;0.632;0.646;0.676;0.710;0.713;0.725;0.728;0.735;0.747;0.749;0.749;0.749
Burkina Faso;;;;;;0.172;0.178;0.192;0.206;0.217;0.228;0.242;0.250;0.250
Burundi;0.086;0.135;0.170;0.182;0.187;0.242;0.281;0.303;0.327;0.351;0.370;0.370;0.370;0.370
Cambodia;0.353;0.358;0.363;0.372;0.400;0.478;0.485;0.491;0.494;0.495;0.495;0.495;0.495;0.495
Cameroon;0.265;0.300;0.336;0.344;0.357;0.408;0.406;0.429;0.446;0.463;0.480;0.486;0.486;0.486
Canada;0.749;0.763;0.809;0.826;0.808;0.853;0.853;0.852;0.851;0.851;0.850;0.850;0.850;0.850
Cape Verde;;;;;0.442;0.442;0.461;0.458;0.464;0.467;0.472;0.483;0.483;0.483
Central African Republic;0.176;0.208;0.213;0.211;0.248;0.280;0.286;0.291;0.296;0.302;0.311;0.318;0.318;0.318
Chad;;;;;0.186;0.203;0.210;0.218;0.225;0.236;0.236;0.256;0.256;0.256
Chile;0.528;0.576;0.625;0.615;0.650;0.707;0.705;0.717;0.740;0.737;0.740;0.746;0.746;0.746
China;0.358;0.366;0.406;0.436;0.478;0.531;0.544;0.561;0.575;0.590;0.599;0.610;0.610;0.610
Colombia;0.387;0.406;0.439;0.489;0.536;0.574;0.580;0.591;0.603;0.609;0.611;0.613;0.602;0.602
Comoros;;;;;;0.402;0.409;0.416;0.423;0.430;0.437;0.443;0.450;0.450
Congo;0.440;0.464;0.456;0.445;0.410;0.459;0.467;0.475;0.483;0.491;0.499;0.505;0.511;0.511
Democratic Republic of the Congo;0.241;0.249;0.253;0.272;0.297;0.316;0.320;0.323;0.346;0.349;0.355;0.361;0.372;0.372
Costa Rica;0.445;0.464;0.503;0.546;0.584;0.594;0.602;0.611;0.627;0.637;0.640;0.652;0.654;0.654
Cote d'Ivoire;0.204;0.217;0.232;0.261;0.302;0.343;0.351;0.359;0.368;0.376;0.384;0.389;0.389;0.389
Croatia;;;0.497;0.553;0.656;0.708;0.719;0.729;0.737;0.744;0.760;0.770;0.770;0.770
Cuba;0.553;0.586;0.625;0.620;0.660;0.735;0.771;0.803;0.819;0.819;0.790;0.768;0.743;0.743
Cyprus;0.465;0.513;0.546;0.655;0.676;0.731;0.740;0.751;0.765;0.778;0.765;0.771;0.776;0.776
Czech Republic;;0.689;0.693;0.726;0.783;0.850;0.848;0.854;0.851;0.860;0.863;0.866;0.866;0.866
Denmark;0.672;0.704;0.711;0.751;0.804;0.864;0.863;0.865;0.867;0.868;0.873;0.873;0.873;0.873
Djibouti;;;;;;0.248;0.253;0.267;0.278;0.284;0.295;0.306;0.306;0.306
Dominica;;;;;0.617;0.617;0.617;0.617;0.607;0.607;0.607;0.607;0.607;0.607
Dominican Republic;0.393;0.452;0.481;0.510;0.540;0.576;0.579;0.582;0.583;0.583;0.584;0.587;0.590;0.590
Ecuador;0.507;0.550;0.555;0.546;0.547;0.583;0.585;0.587;0.589;0.592;0.594;0.594;0.594;0.594
Egypt;0.279;0.349;0.386;0.434;0.486;0.525;0.534;0.544;0.553;0.562;0.573;0.573;0.573;0.573
El Salvador;0.317;0.340;0.367;0.413;0.469;0.528;0.531;0.530;0.531;0.537;0.541;0.548;0.553;0.553
Equatorial Guinea;;;;;0.415;0.415;0.415;0.415;0.415;0.415;0.415;0.415;0.415;0.415
Eritrea;;;;;;;;;;;0.228;0.228;0.228;0.228
Estonia;;;0.674;0.705;0.808;0.855;0.853;0.854;0.852;0.852;0.859;0.859;0.859;0.859
Ethiopia;;;;;0.169;0.233;0.252;0.281;0.301;0.305;0.300;0.314;0.317;0.317
Fiji;0.498;0.517;0.557;0.609;0.671;0.694;0.710;0.723;0.735;0.747;0.759;0.767;0.767;0.767
Finland;0.645;0.665;0.691;0.758;0.765;0.812;0.816;0.814;0.815;0.808;0.812;0.815;0.815;0.815
France;0.543;0.571;0.633;0.728;0.761;0.790;0.792;0.796;0.800;0.803;0.807;0.813;0.816;0.816
Gabon;0.380;0.434;0.474;0.510;0.545;0.571;0.575;0.578;0.582;0.586;0.589;0.589;0.589;0.589
Gambia;0.162;0.171;0.191;0.210;0.256;0.307;0.318;0.329;0.340;0.343;0.346;0.346;0.346;0.346
Georgia;;;;;;0.754;0.751;0.768;0.759;0.770;0.770;0.770;0.770;0.770
Germany;0.590;0.600;0.646;0.739;0.787;0.858;0.872;0.875;0.877;0.879;0.879;0.884;0.884;0.884
Ghana;0.327;0.358;0.503;0.411;0.433;0.460;0.477;0.496;0.516;0.522;0.535;0.544;0.553;0.553
Greece;0.543;0.595;0.596;0.637;0.680;0.794;0.803;0.792;0.794;0.795;0.797;0.797;0.797;0.797
Grenada;;;;;;;;;;;0.724;0.724;0.724;0.724
Guatemala;0.247;0.262;0.290;0.318;0.365;0.399;0.409;0.428;0.439;0.451;0.462;0.473;0.484;0.484
Guinea;;;;;;0.253;0.267;0.278;0.281;0.281;0.286;0.292;0.294;0.294
Guinea-Bissau;;;;;;0.314;0.325;0.325;0.325;0.325;0.325;0.325;0.325;0.325
Guyana;0.463;0.482;0.512;0.531;0.553;0.587;0.581;0.574;0.575;0.573;0.576;0.582;0.582;0.582
Haiti;0.189;0.253;0.285;0.307;0.331;0.355;0.359;0.363;0.367;0.371;0.374;0.374;0.374;0.374
Honduras;0.310;0.347;0.354;0.383;0.419;0.458;0.466;0.473;0.483;0.492;0.502;0.507;0.505;0.505
Hong Kong;0.530;0.589;0.626;0.639;0.648;0.683;0.690;0.713;0.748;0.758;0.759;0.762;0.767;0.767
Hungary;0.604;0.625;0.597;0.700;0.755;0.793;0.797;0.798;0.799;0.801;0.808;0.805;0.805;0.805
Iceland;0.598;0.639;0.673;0.732;0.786;0.829;0.833;0.836;0.840;0.843;0.847;0.847;0.847;0.847
India;0.240;0.282;0.311;0.339;0.355;0.409;0.420;0.430;0.442;0.445;0.456;0.473;0.473;0.473
Indonesia;0.345;0.392;0.393;0.424;0.521;0.559;0.564;0.565;0.567;0.588;0.594;0.603;0.603;0.603
Iran;0.309;0.333;0.382;0.477;0.526;0.554;0.570;0.587;0.606;0.617;0.625;0.639;0.683;0.683
Iraq;0.341;0.342;0.362;0.381;0.401;0.456;0.458;0.460;0.462;0.465;0.467;0.467;0.467;0.467
Ireland;0.533;0.553;0.595;0.623;0.637;0.716;0.767;0.780;0.784;0.886;0.887;0.887;0.887;0.887
Israel;0.675;0.706;0.714;0.764;0.820;0.848;0.846;0.849;0.844;0.847;0.848;0.851;0.854;0.854
Italy;0.542;0.556;0.592;0.650;0.695;0.762;0.768;0.775;0.779;0.780;0.784;0.790;0.790;0.790
Jamaica;0.483;0.496;0.527;0.564;0.588;0.648;0.652;0.656;0.660;0.664;0.668;0.668;0.668;0.668
Japan;0.663;0.681;0.699;0.740;0.767;0.785;0.790;0.792;0.795;0.800;0.802;0.808;0.808;0.808
Jordan;0.433;0.466;0.495;0.644;0.671;0.707;0.706;0.707;0.714;0.708;0.703;0.700;0.700;0.700
Kazakhstan;0.534;0.581;0.606;0.633;0.683;0.755;0.759;0.758;0.759;0.755;0.754;0.759;0.762;0.762
Kenya;0.348;0.369;0.392;0.414;0.431;0.467;0.472;0.491;0.502;0.512;0.515;0.515;0.515;0.515
Kiribati;;;;;;;;;;;0.602;0.602;0.602;0.602
Democratic People's Republic of Korea;;;;;;;;;;;;;;
Republic of Korea;0.565;0.638;0.679;0.743;0.797;0.837;0.843;0.848;0.854;0.856;0.862;0.865;0.865;0.865
Kuwait;0.454;0.514;0.471;0.524;0.637;0.609;0.610;0.612;0.619;0.626;0.633;0.639;0.646;0.646
Kyrgyzstan;;;0.598;0.578;0.634;0.656;0.659;0.660;0.658;0.653;0.651;0.656;0.656;0.656
Lao People's Democratic Republic;0.246;0.256;0.288;0.310;0.352;0.385;0.390;0.395;0.403;0.414;0.422;0.436;0.436;0.436
Latvia;0.580;0.605;0.601;0.622;0.709;0.796;0.804;0.814;0.824;0.823;0.822;0.813;0.813;0.813
Lebanon;;;;;;0.633;0.622;0.625;0.625;0.628;0.628;0.633;0.631;0.631
Lesotho;0.352;0.395;0.414;0.429;0.449;0.474;0.477;0.483;0.489;0.495;0.500;0.502;0.504;0.504
Liberia;0.170;0.216;0.264;0.312;0.344;0.349;0.353;0.357;0.360;0.364;0.367;0.367;0.367;0.367
Libya;0.421;0.459;0.516;0.571;0.625;0.660;0.667;0.675;0.683;0.690;0.698;0.698;0.698;0.698
Liechtenstein;;;;;;;;;;;0.750;0.762;0.762;0.762
Lithuania;;;0.662;0.668;0.767;0.850;0.856;0.864;0.872;0.882;0.883;0.877;0.877;0.877
Luxembourg;0.551;0.584;0.598;0.641;0.734;0.743;0.744;0.746;0.748;0.755;0.762;0.762;0.762;0.762
Madagascar;;;;;0.398;0.422;0.431;0.433;0.442;0.456;0.457;0.457;0.458;0.458
Malawi;0.192;0.197;0.229;0.399;0.388;0.380;0.388;0.387;0.403;0.419;0.434;0.440;0.440;0.440
Malaysia;0.398;0.458;0.487;0.536;0.602;0.651;0.655;0.659;0.663;0.667;0.671;0.671;0.671;0.671
Maldives;;;;;0.484;0.520;0.525;0.531;0.537;0.542;0.548;0.548;0.548;0.548
Mali;0.079;0.073;0.085;0.118;0.177;0.239;0.251;0.263;0.276;0.286;0.294;0.301;0.305;0.305
Malta;0.580;0.584;0.585;0.587;0.616;0.684;0.682;0.679;0.688;0.705;0.722;0.722;0.733;0.733
Marshall Islands;;;;;;;;;;;;;;
Mauritania;0.165;0.172;0.180;0.242;0.280;0.311;0.322;0.325;0.319;0.336;0.338;0.341;0.352;0.352
Mauritius;0.402;0.430;0.482;0.519;0.574;0.638;0.648;0.656;0.666;0.679;0.686;0.696;0.718;0.718
Mexico;0.417;0.468;0.479;0.511;0.544;0.588;0.601;0.604;0.612;0.621;0.631;0.636;0.638;0.638
Federated States of Micronesia;;;;;;;;;;;0.611;0.611;0.611;0.611
Moldova (Republic of);;;0.600;0.591;0.618;0.646;0.654;0.654;0.657;0.654;0.653;0.656;0.653;0.653
Monaco;;;;;;;;;;;;;;
Mongolia;0.477;0.505;0.537;0.472;0.532;0.627;0.636;0.649;0.661;0.674;0.683;0.688;0.694;0.694
Montenegro;;;;;;0.717;0.730;0.744;0.757;0.768;0.774;0.774;0.774;0.774
Morocco;0.205;0.242;0.254;0.292;0.346;0.408;0.411;0.422;0.431;0.440;0.454;0.468;0.468;0.468
Mozambique;0.158;0.141;0.130;0.138;0.222;0.324;0.334;0.353;0.366;0.374;0.373;0.372;0.372;0.372
Myanmar;0.222;0.247;0.243;0.286;0.310;0.343;0.351;0.360;0.363;0.367;0.371;0.371;0.371;0.371
Namibia;0.451;0.471;0.495;0.528;0.508;0.515;0.514;0.515;0.517;0.519;0.520;0.520;0.520;0.520
Nauru;;;;;;;;;;;;;;
ÊÊNepal;0.155;0.205;0.284;0.306;0.337;0.366;0.384;0.387;0.398;0.418;0.444;0.452;0.452;0.452
Netherlands;0.667;0.686;0.744;0.811;0.824;0.844;0.850;0.860;0.860;0.859;0.866;0.892;0.894;0.894
New Zealand;0.760;0.772;0.794;0.864;0.885;0.908;0.910;0.911;0.913;0.915;0.917;0.917;0.917;0.917
Nicaragua;0.327;0.325;0.343;0.387;0.425;0.463;0.467;0.471;0.476;0.480;0.484;0.484;0.484;0.484
Niger;0.060;0.070;0.084;0.098;0.118;0.149;0.152;0.159;0.165;0.172;0.184;0.192;0.198;0.198
Nigeria;;;;;;0.415;0.417;0.419;0.421;0.423;0.425;0.425;0.425;0.425
Norway;0.666;0.699;0.750;0.805;0.870;0.910;0.912;0.909;0.903;0.902;0.907;0.910;0.910;0.910
Oman;;;;;;0.527;0.527;0.539;0.556;0.589;0.596;0.603;0.603;0.603
Pakistan;0.121;0.144;0.158;0.190;0.221;0.291;0.296;0.298;0.328;0.332;0.339;0.336;0.322;0.302
Palau;;;;;0.760;0.787;0.787;0.787;0.787;0.787;0.787;0.787;0.787;0.787
State of Palestine;;;;;;0.613;0.620;0.639;0.643;0.650;0.652;0.656;0.662;0.662
Panama;0.505;0.524;0.536;0.576;0.623;0.653;0.656;0.655;0.658;0.658;0.663;0.657;0.657;0.657
Papua New Guinea;0.155;0.176;0.208;0.241;0.285;0.326;0.335;0.344;0.353;0.361;0.370;0.376;0.376;0.376
Paraguay;0.382;0.412;0.428;0.476;0.524;0.577;0.565;0.564;0.574;0.583;0.587;0.587;0.587;0.587
Peru;0.485;0.523;0.553;0.584;0.642;0.635;0.633;0.629;0.631;0.633;0.656;0.660;0.664;0.664
Philippines;0.488;0.517;0.536;0.557;0.582;0.608;0.603;0.609;0.614;0.608;0.610;0.610;0.610;0.610
Poland;0.591;0.628;0.667;0.720;0.780;0.795;0.797;0.799;0.801;0.808;0.817;0.823;0.825;0.825
Portugal;0.451;0.502;0.535;0.631;0.656;0.661;0.667;0.677;0.690;0.701;0.713;0.720;0.728;0.728
Qatar;0.479;0.513;0.508;0.562;0.612;0.673;0.686;0.699;0.703;0.689;0.680;0.671;0.686;0.686
Romania;0.597;0.618;0.637;0.624;0.654;0.709;0.717;0.732;0.748;0.754;0.747;0.748;0.748;0.748
Russian Federation;0.576;0.619;0.660;0.660;0.723;0.764;0.765;0.769;0.772;0.779;0.780;0.780;0.780;0.780
Rwanda;0.174;0.203;0.217;0.241;0.278;0.324;0.355;0.356;0.354;0.366;0.375;0.387;0.478;0.478
Saint Kitts and Nevis;;;;;;;;;;0.638;0.638;0.638;0.638;0.638
Saint Lucia;;;;;;;;;;0.637;0.626;0.631;0.631;0.631
Saint Vincent and the Grenadines;;;;;;;;;;0.657;0.657;0.657;0.657;0.657
Samoa;;;;;0.677;0.697;0.702;0.702;0.702;0.702;0.702;0.702;0.702;0.702
San Marino;;;;;;;;;;;;;;
Sao Tome and Principe;;;;;0.392;0.422;0.430;0.439;0.441;0.458;0.455;0.462;0.469;0.469
Saudi Arabia;0.304;0.363;0.427;0.482;0.565;0.617;0.624;0.630;0.641;0.660;0.688;0.707;0.721;0.723
Senegal;0.180;0.204;0.226;0.245;0.266;0.312;0.324;0.329;0.343;0.357;0.364;0.368;0.368;0.368
Serbia;;;0.646;0.668;0.686;0.691;0.692;0.693;0.697;0.697;0.695;0.695;0.695;0.695
Seychelles;;;;;0.666;0.691;0.689;0.686;0.683;0.633;0.678;0.636;0.636;0.636
Sierra Leone;0.164;0.199;0.183;0.221;0.274;0.286;0.288;0.290;0.292;0.294;0.296;0.305;0.305;0.305
Singapore;;;0.545;0.580;0.606;0.667;0.684;0.698;0.714;0.715;0.759;0.759;0.759;0.768
Slovakia;;;0.680;0.708;0.743;0.784;0.789;0.797;0.800;0.802;0.805;0.802;0.802;0.802
Slovenia;;0.653;0.697;0.724;0.794;0.842;0.849;0.850;0.854;0.858;0.864;0.862;0.863;0.863
Solomon Islands;;;;;0.333;0.383;0.400;0.405;0.405;0.405;0.405;0.405;0.405;0.405
Somalia;;;;;;;;;;;;;;
South Africa;0.468;0.468;0.533;0.637;0.655;0.659;0.661;0.666;0.669;0.682;0.685;0.687;0.695;0.695
South Sudan;;;;;;;;;;;;;;
Spain;0.516;0.551;0.596;0.694;0.721;0.742;0.747;0.753;0.763;0.768;0.783;0.792;0.794;0.794
Sri Lanka;0.513;0.547;0.592;0.633;0.679;0.709;0.715;0.721;0.726;0.729;0.738;0.738;0.738;0.738
Sudan;0.133;0.143;0.159;0.175;0.206;0.261;0.272;0.283;0.293;0.304;0.306;0.306;0.306;0.306
Suriname;;;;;;0.588;0.588;0.588;0.588;0.588;0.588;0.588;0.588;0.588
Swaziland;0.355;0.395;0.426;0.448;0.459;0.494;0.514;0.523;0.531;0.539;0.547;0.551;0.551;0.551
Sweden;0.659;0.665;0.692;0.792;0.866;0.830;0.827;0.824;0.824;0.823;0.833;0.830;0.830;0.830
ÊSwitzerland;0.678;0.675;0.695;0.726;0.804;0.822;0.827;0.828;0.830;0.834;0.841;0.844;0.844;0.844
Syrian Arab Republic;0.347;0.399;0.422;0.420;0.451;0.534;;0.539;0.538;0.545;0.548;0.553;0.553;0.553
Tajikistan;;;0.634;0.607;0.601;0.630;0.635;0.631;0.639;0.638;0.639;0.639;0.639;0.639
Tanzania;0.288;0.269;0.273;0.286;0.325;0.369;0.379;0.389;0.399;0.401;0.403;0.426;0.426;0.426
Thailand;0.343;0.377;0.386;0.433;0.516;0.569;0.559;0.582;0.589;0.601;0.608;0.608;0.608;0.608
Republic of Macedonia;;;;;;0.597;0.603;0.609;0.636;0.639;0.642;0.642;0.642;0.642
Timor-Leste;;;;;0.362;0.379;0.399;0.419;0.439;0.459;0.472;0.472;0.472;0.472
Togo;0.316;0.279;0.311;0.355;0.407;0.446;0.460;0.449;0.466;0.483;0.501;0.514;0.514;0.514
Tonga;0.628;0.622;0.648;0.679;0.664;0.710;0.712;0.714;0.716;0.718;0.720;0.720;0.720;0.720
Trinidad and Tobago;0.533;0.545;0.558;0.575;0.607;0.684;0.689;0.695;0.700;0.700;0.700;0.700;0.700;0.700
Tunisia;0.298;0.362;0.403;0.460;0.525;0.580;0.588;0.597;0.605;0.610;0.619;0.621;0.621;0.621
Turkey;0.304;0.363;0.398;0.427;0.493;0.531;0.545;0.557;0.563;0.582;0.625;0.648;0.652;0.652
Turkmenistan;;;;;;;;;;;0.679;0.679;0.679;0.679
Tuvalu;;;;;;;;;;;;;;
Uganda;0.174;0.234;0.251;0.266;0.426;0.449;0.446;0.452;0.466;0.475;0.479;0.479;0.479;0.479
Ukraine;0.581;0.614;0.646;0.679;0.705;0.765;0.772;0.776;0.779;0.783;0.784;0.790;0.796;0.796
United Arab Emirates;0.358;0.416;0.471;0.543;0.604;0.649;0.654;0.659;0.664;0.669;0.673;0.673;0.673;0.673
United Kingdom;0.608;0.622;0.642;0.791;0.836;0.866;0.854;0.852;0.859;0.865;0.878;0.860;0.860;0.860
United States;0.790;0.805;0.834;0.861;0.850;0.867;0.870;0.876;0.880;0.884;0.887;0.890;0.890;0.890
Uruguay;0.545;0.567;0.597;0.609;0.660;0.691;0.693;0.708;0.709;0.709;0.707;0.710;0.712;0.712
Uzbekistan;;;;;;0.654;0.654;0.654;0.651;0.651;0.651;0.651;0.651;0.651
Vanuatu;;;;;;;;;0.596;0.596;0.596;0.596;0.596;0.596
Venezuela;0.441;0.461;0.453;0.475;0.513;0.594;0.618;0.650;0.670;0.674;0.682;0.682;0.682;0.682
Vietnam;0.381;0.376;0.349;0.387;0.434;0.470;0.478;0.486;0.494;0.502;0.509;0.513;0.513;0.513
Yemen;;;0.218;0.229;0.257;0.304;0.307;0.310;0.313;0.321;0.328;0.339;0.339;0.339
Zambia;0.319;0.362;0.375;0.457;0.488;0.538;0.546;0.554;0.561;0.569;0.577;0.584;0.591;0.591
Zimbabwe;0.288;0.450;0.423;0.457;0.471;0.483;0.487;0.490;0.493;0.497;0.500;0.500;0.500;0.500